title,company,location,link,logo,search_keywords,search_location
Market Research Analyst Intern (Space Weather),Augura Space,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/market-research-analyst-intern-space-weather-at-augura-space-4310126672,https://media.licdn.com/dms/image/v2/D4E0BAQHjd9D1aznJ-A/company-logo_100_100/company-logo_100_100/0/1734392606891/augura_space_logo?e=2147483647&v=beta&t=59CVDuW-8ooNTWy5XzyD3cXXAJeUWf-GHJVRoeo6c8A,data engineering internship,France
Product Engineer (Stage),Beamy,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/product-engineer-stage-at-beamy-4302563675,https://media.licdn.com/dms/image/v2/D4E0BAQFtjHtQscvYgg/company-logo_100_100/company-logo_100_100/0/1726566370929/beamyio_logo?e=2147483647&v=beta&t=o5ZV-I1dvMgrWOelSxZZzK5-EIEWm9TAUT4b1LYwrTE,data engineering internship,France
Internship: Device Theory Team,Quandela,"Massy, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-device-theory-team-at-quandela-4309781229,https://media.licdn.com/dms/image/v2/D4E0BAQGrGVccjEOB0g/company-logo_100_100/company-logo_100_100/0/1728909616156/quandela_logo?e=2147483647&v=beta&t=BVERWURqup93JFsftmQUH_8G2AyOpSHUPLOfb81C6dY,data engineering internship,France
Internship - Supply Chain Data Analyst,EUROAPI,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-supply-chain-data-analyst-at-euroapi-4331325560,https://media.licdn.com/dms/image/v2/C4E0BAQGXA2yRMLtWXA/company-logo_100_100/company-logo_100_100/0/1645796074396/euroapi_logo?e=2147483647&v=beta&t=R5xkpDPSsSseizYqjLOJiMCOtS1P_xuuRAeRtHZ6evw,data engineering internship,France
Internship: Investigation and consolidation of project data - F/M,Technip Energies,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-investigation-and-consolidation-of-project-data-f-m-at-technip-energies-4305333897,https://media.licdn.com/dms/image/v2/D4E0BAQG808USRn4w-w/company-logo_100_100/B4EZXsFO6VGYAU-/0/1743422550086/technip_energies_logo?e=2147483647&v=beta&t=-DowELVNkKCQUI8q-KtgEHrK3Dl5z3qQFBVAXIo14YU,data engineering internship,France
Internship : Process Technology & Digitalization (F/M),Axens,"Rueil-Malmaison, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-process-technology-digitalization-f-m-at-axens-4312092227,https://media.licdn.com/dms/image/v2/C560BAQGH6eacgiNGFg/company-logo_100_100/company-logo_100_100/0/1630566147437/axens_logo?e=2147483647&v=beta&t=TQHmCjjFM6VNVejA9Ne6UkNoYdfqt06SlolUhesIK34,data engineering internship,France
Product Intern (6 months),Blockchain.com,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/product-intern-6-months-at-blockchain-com-4302025945,https://media.licdn.com/dms/image/v2/D4E0BAQEbDvK_i51RPw/company-logo_100_100/company-logo_100_100/0/1719851023063/blockchain_logo?e=2147483647&v=beta&t=0taStOKu4Z56ELtBplGuEgH0C3T9FAU8ZS7tUlU14ow,data engineering internship,France
INTERNSHIP - Supply Chain Transformation & Master Data Manager (M/F/X) - JANUARY 2026,Bel,"Suresnes, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-supply-chain-transformation-master-data-manager-m-f-x-january-2026-at-bel-4295088267,https://media.licdn.com/dms/image/v2/C4E0BAQHNijdm31HnFA/company-logo_100_100/company-logo_100_100/0/1630604799420/belcorporate_logo?e=2147483647&v=beta&t=5M7fxZJQr9Yxt3vM752ssYjh3HXsFAsP2GuiCu_FJ1U,data engineering internship,France
Internship - Technology & Market Analyst,Yole Group,"Villeurbanne, Auvergne-Rhône-Alpes, France",https://fr.linkedin.com/jobs/view/internship-technology-market-analyst-at-yole-group-4317222253,https://media.licdn.com/dms/image/v2/C4E0BAQGzVE-RLbuI4w/company-logo_100_100/company-logo_100_100/0/1654094767798/yole_group_logo?e=2147483647&v=beta&t=RGxFD4_bpFYWMiUSumXGbGXUexcL_qc2-_54VLCcEl8,data engineering internship,France
Payment & Fraud Management - Internship,Ankorstore,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/payment-fraud-management-internship-at-ankorstore-4318504549,https://media.licdn.com/dms/image/v2/C4E0BAQF7hxcutJv2iQ/company-logo_100_100/company-logo_100_100/0/1651063122585/ankorstore_logo?e=2147483647&v=beta&t=_yaU3mjMp366UF9uG4W_mE7ddeqsX7beknApAgx0PHo,data engineering internship,France
"Software Engineer Intern - France, Paris",Dataiku,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/software-engineer-intern-france-paris-at-dataiku-4304220679,https://media.licdn.com/dms/image/v2/D4E0BAQF79J2ze0Dr_Q/company-logo_100_100/B4EZeifTFHHcAY-/0/1750777803580/dataiku_logo?e=2147483647&v=beta&t=r8C8V2uyoiwCaf_TGFArMWdqvI82qV-yig2MmhwEz0k,data engineering internship,France
Technology Associate Consultant - Internship,Manhattan Associates,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/technology-associate-consultant-internship-at-manhattan-associates-4291635246,https://media.licdn.com/dms/image/v2/D4E0BAQHPIzcDAksFtA/company-logo_100_100/company-logo_100_100/0/1720455479490/manhattan_associates_logo?e=2147483647&v=beta&t=eyQeLxIJ-xOHN2fS4rcHSWknfvt0CW9FaN7_lsD_W4o,data engineering internship,France
DEMAND PLANNING INTERN,Barilla Group,"Boulogne-Billancourt, Île-de-France, France",https://fr.linkedin.com/jobs/view/demand-planning-intern-at-barilla-group-4310855727,https://media.licdn.com/dms/image/v2/C4D0BAQFSyiiLEk-mDw/company-logo_100_100/company-logo_100_100/0/1630544517619/barilla_group_logo?e=2147483647&v=beta&t=cRv_9-M_4kOX2MjwPiRffBZcHMxf2HvVu-dFTs51Koo,data engineering internship,France
Applied sub-surface geophysics internship,Geomines,"Six-Fours-les-Plages, Provence-Alpes-Côte d'Azur, France",https://fr.linkedin.com/jobs/view/applied-sub-surface-geophysics-internship-at-geomines-4117955431,https://media.licdn.com/dms/image/v2/C4D0BAQEaJLj2ctLdwA/company-logo_100_100/company-logo_100_100/0/1630517533996/geomines_logo?e=2147483647&v=beta&t=eHVLW0wVoAdmgkEyEKFc22mhAl1XvRr3JQL0stZeqSw,data engineering internship,France
Flight Data Monitoring -ATR - Intership -  Implementation of a 3D animation module,Airbus,"Toulouse, Occitanie, France",https://fr.linkedin.com/jobs/view/flight-data-monitoring-atr-intership-implementation-of-a-3d-animation-module-at-airbus-4299248658,https://media.licdn.com/dms/image/v2/C4D0BAQF2j_LDG_TOzg/company-logo_100_100/company-logo_100_100/0/1631375371456/airbusgroup_logo?e=2147483647&v=beta&t=EndIJG29pwq698iB4dcza3K8EFEdyvkrxhRn2q8HVgE,data engineering internship,France
Stage – Sales Business Analysis – January 2026,Guerlain,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/stage-%E2%80%93-sales-business-analysis-%E2%80%93-january-2026%E2%80%8B-at-guerlain-4313258396,https://media.licdn.com/dms/image/v2/C4D0BAQFUiMfnhL0_gQ/company-logo_100_100/company-logo_100_100/0/1641476414704/guerlain_logo?e=2147483647&v=beta&t=f8zJQ7-ypEqRkKNMT4eHHV97sjoKKk4cxeREfqQalmA,data engineering internship,France
Internship - Flight Operations Engineer - AI Development,CMA CGM,"Marseille, Provence-Alpes-Côte d'Azur, France",https://fr.linkedin.com/jobs/view/internship-flight-operations-engineer-ai-development-at-cma-cgm-4317477248,https://media.licdn.com/dms/image/v2/C4E0BAQErbDTaXxx_JA/company-logo_100_100/company-logo_100_100/0/1631365360656/cma_cgm_logo?e=2147483647&v=beta&t=7jfH0WKNdXjfGFSQ5NI6np4BR2eykyFIIUFgGfpqDJQ,data engineering internship,France
Internship: Inside Sales Engineer,Quandela,"Massy, Île-de-France, France",https://fr.linkedin.com/jobs/view/internship-inside-sales-engineer-at-quandela-4310970864,https://media.licdn.com/dms/image/v2/D4E0BAQGrGVccjEOB0g/company-logo_100_100/company-logo_100_100/0/1728909616156/quandela_logo?e=2147483647&v=beta&t=BVERWURqup93JFsftmQUH_8G2AyOpSHUPLOfb81C6dY,data engineering internship,France
R&D Embedded Performance Analysis - Internship Toulouse,EasyMile,"Toulouse, Occitanie, France",https://fr.linkedin.com/jobs/view/r-d-embedded-performance-analysis-internship-toulouse-at-easymile-4304241700,https://media.licdn.com/dms/image/v2/C4D0BAQGoGxH16Y1Mvg/company-logo_100_100/company-logo_100_100/0/1631307903830?e=2147483647&v=beta&t=7vIsVq0IIMWYz-B9HvPOlwJCCiAsFOXcJQnOClGd2U8,data engineering internship,France
Growth Marketing Intern,Bonsai,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/growth-marketing-intern-at-bonsai-4295507804,https://media.licdn.com/dms/image/v2/C4E0BAQETGbFwzL4VRA/company-logo_100_100/company-logo_100_100/0/1671632842622/bonsai_logo?e=2147483647&v=beta&t=Ag_3jtsKgHugfrxd3QjyidZ4w3V_evGopWAQV8rcz9A,data engineering internship,France
ATR - Stage Obsolescence Data Management,Airbus,"Toulouse, Occitanie, France",https://fr.linkedin.com/jobs/view/atr-stage-obsolescence-data-management-at-airbus-4299232713,https://media.licdn.com/dms/image/v2/C4D0BAQF2j_LDG_TOzg/company-logo_100_100/company-logo_100_100/0/1631375371456/airbusgroup_logo?e=2147483647&v=beta&t=EndIJG29pwq698iB4dcza3K8EFEdyvkrxhRn2q8HVgE,data engineering internship,France
Software Engineering Intern,Datadog,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/software-engineering-intern-at-datadog-4297612187,https://media.licdn.com/dms/image/v2/C560BAQFLwWfI6v1OPA/company-logo_100_100/company-logo_100_100/0/1657564322231/datadog_logo?e=2147483647&v=beta&t=dlPW8v-g84slr8mZQWdDifOplkT2MTCKM0ctVSBhkdU,data engineering internship,France
"Intern, Multi-User QoE","InterDigital, Inc.",Greater Rennes Metropolitan Area,https://fr.linkedin.com/jobs/view/intern-multi-user-qoe-at-interdigital-inc-4315195176,https://media.licdn.com/dms/image/v2/C4E0BAQEZv9D7lAwH0A/company-logo_100_100/company-logo_100_100/0/1630605532854/interdigital_communications_logo?e=2147483647&v=beta&t=bBMhxEAk1hUc_VHcboPAcVe-836qbBhJ9iTDEo5aM80,data engineering internship,France
ATR Internship - Stress/Repair Engineer,Airbus,"Toulouse, Occitanie, France",https://fr.linkedin.com/jobs/view/atr-internship-stress-repair-engineer-at-airbus-4299260668,https://media.licdn.com/dms/image/v2/C4D0BAQF2j_LDG_TOzg/company-logo_100_100/company-logo_100_100/0/1631375371456/airbusgroup_logo?e=2147483647&v=beta&t=EndIJG29pwq698iB4dcza3K8EFEdyvkrxhRn2q8HVgE,data engineering internship,France
PRODUCT ENGINEER (STAGE),Le Village by CA Paris,"Paris, Île-de-France, France",https://fr.linkedin.com/jobs/view/product-engineer-stage-at-le-village-by-ca-paris-4303394204,https://media.licdn.com/dms/image/v2/C560BAQFlGEYDEb8NJw/company-logo_100_100/company-logo_100_100/0/1631435825652/le_village_by_ca_logo?e=2147483647&v=beta&t=YCWYXlp4WxiIUxywmhi2C_eT8wvopzZ08CUbGah9IaE,data engineering internship,France
